FILIAL;DATA_VENDA;PRODUTO;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;QTDE_LIQUIDA;
HAVAIANAS SAVASSI BH     ;30/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;14/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;23/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;29/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;21/02/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;28/03/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;02/04/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;12/04/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;22/04/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS SAVASSI BH     ;25/07/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;26/07/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;12/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;08/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;-1;
HAVAIANAS SAVASSI BH     ;14/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;15/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;28/10/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;3;
HAVAIANAS MINAS SHOPP    ;29/10/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;3;
HAVAIANAS MINAS SHOPP    ;31/10/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;3;
HAVAIANAS MINAS SHOPP    ;01/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;03/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;05/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;06/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;07/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;3;
